Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
11;21100244898;"Antipoda";journal;"19005407, 20114273";0,276;Q1;7;36;86;1805;32;82;0,33;50,14;Colombia;Latin America;"Universidad de los Andes";"2013-2021";"Cultural Studies (Q1); Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2)"
12;21100200415;"Revista Colombiana de Psicologia";journal;"01215469";0,265;Q2;11;16;55;768;56;55;0,86;48,00;Colombia;Latin America;"Universidad Nacional de Colombia";"2011-2021";"Social Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q3)"
13;21100820898;"Tropical Grasslands - Forrajes Tropicales";journal;"23463775";0,254;Q3;15;42;127;1308;140;127;0,91;31,14;Colombia;Latin America;"Centro Internacional de Agricultura Tropical (CIAT)";"2013-2021";"Agronomy and Crop Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
14;79866;"Livestock Research for Rural Development";journal;"01213784";0,246;Q3;33;158;558;4825;341;558;0,59;30,54;Colombia;Latin America;"Centro para la Investigacion en Sistemas Sostenibles de Produccion Agropecuaria";"1996-2021";"Animal Science and Zoology (Q3)"
15;7000153282;"Earth Sciences Research Journal";journal;"17946190";0,245;Q3;16;35;123;1322;173;123;1,13;37,77;Colombia;Latin America;"Universidad Nacional de Colombia";"2007-2021";"Earth and Planetary Sciences (miscellaneous) (Q3)"
16;20000195049;"Magis";journal;"20271174, 20271182";0,241;Q3;10;16;77;775;48;75;0,69;48,44;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2021";"Education (Q3)"
17;21100332207;"Revista Colombiana de Matematicas";journal;"00347426, 23574100";0,240;Q4;6;13;48;255;26;48;0,45;19,62;Colombia;Latin America;"Universidad Nacional de Colombia";"2014-2020";"Mathematics (miscellaneous) (Q4)"
18;12100157018;"Cuadernos de Economia (Colombia)";journal;"22484337, 01214772";0,234;Q2;9;43;103;1709;85;100;0,99;39,74;Colombia;Latin America;"Universidad Nacional de Colombia";"2007-2021";"Arts and Humanities (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)"
19;77291;"Biomedica";journal;"01204157";0,233;Q3;30;88;436;2855;347;404;0,68;32,44;Colombia;Latin America;"Instituto Nacional de Salud";"2001-2021";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q4)"
20;19700170481;"Bitacora Urbano Territorial";journal;"01247913, 2027145X";0,233;Q2;7;58;170;1667;66;164;0,41;28,74;Colombia;Latin America;"Universidad Nacional de Colombia";"2009-2021";"Arts and Humanities (miscellaneous) (Q2); Urban Studies (Q2); Geography, Planning and Development (Q3)"
